No,hour_A,PM2.5_A,PM10_A,SO2_A,NO2_A,CO_A,O3_A,TEMP_A,station_A,hour_C,PM2.5_C,PM10_C,SO2_C,NO2_C,CO_C,O3_C,TEMP_C,station_C,Date
17098,9,21.0,46.0,24.0,58.0,900.0,44.0,3.0,Aotizhongxin,9,29.0,58.0,45.0,35.0,800.0,33.0,3.0,Changping,2015-02-11
17099,10,31.0,58.0,20.0,51.0,1000.0,55.0,4.0,Aotizhongxin,10,35.0,54.0,54.0,24.0,700.0,45.0,5.0,Changping,2015-02-11
17100,11,28.0,51.0,15.0,27.0,700.0,76.0,6.0,Aotizhongxin,11,23.0,38.0,36.0,16.0,500.0,57.0,7.0,Changping,2015-02-11
17101,12,32.0,50.0,20.0,22.0,600.0,78.0,8.0,Aotizhongxin,12,22.0,33.0,28.0,14.0,500.0,66.0,8.0,Changping,2015-02-11
17102,13,26.0,42.0,28.0,21.0,700.0,82.0,9.0,Aotizhongxin,13,22.0,27.0,17.0,15.0,500.0,69.0,9.0,Changping,2015-02-11
17103,14,21.0,39.0,22.0,16.0,600.0,88.0,10.0,Aotizhongxin,14,24.0,33.0,19.0,16.0,500.0,74.0,10.0,Changping,2015-02-11
17104,15,16.0,36.0,13.0,12.0,600.0,94.0,11.0,Aotizhongxin,15,20.0,42.0,19.0,19.0,500.0,74.0,10.0,Changping,2015-02-11
17105,16,13.0,36.0,9.0,10.0,600.0,101.0,11.0,Aotizhongxin,16,19.0,47.0,16.0,23.0,500.0,70.0,10.0,Changping,2015-02-11
17106,17,15.0,38.0,9.0,12.0,400.0,99.0,10.0,Aotizhongxin,17,21.0,51.0,15.0,29.0,500.0,63.0,9.0,Changping,2015-02-11
17107,18,17.0,46.0,11.0,23.0,500.0,85.0,7.0,Aotizhongxin,18,18.0,37.0,9.0,24.0,500.0,67.0,7.0,Changping,2015-02-11
17109,20,8.0,33.0,4.0,27.0,500.0,92.0,5.0,Aotizhongxin,20,8.0,26.0,3.0,17.0,400.0,74.0,5.0,Changping,2015-02-11
17110,21,12.0,39.0,4.0,19.0,500.0,98.0,5.0,Aotizhongxin,21,16.0,36.0,4.0,16.0,300.0,76.0,5.0,Changping,2015-02-11
17111,22,10.0,35.0,3.0,13.0,400.0,103.0,4.0,Aotizhongxin,22,7.0,18.0,2.0,13.0,400.0,78.0,4.0,Changping,2015-02-11
17112,23,9.0,26.0,3.0,14.0,400.0,102.0,3.0,Aotizhongxin,23,13.0,15.0,2.0,11.0,400.0,79.0,3.0,Changping,2015-02-11
17114,1,11.0,20.0,4.0,12.0,400.0,100.0,1.0,Aotizhongxin,1,13.0,15.0,4.0,25.0,400.0,59.0,3.0,Changping,2015-02-12
17115,2,6.0,16.0,3.0,18.0,400.0,94.0,1.0,Aotizhongxin,2,17.0,19.0,15.0,26.0,500.0,54.0,2.0,Changping,2015-02-12
17116,3,18.0,28.0,8.0,36.0,600.0,73.0,-1.0,Aotizhongxin,3,15.0,15.0,10.0,18.0,300.0,62.0,0.0,Changping,2015-02-12
17118,5,17.0,25.0,11.0,44.0,500.0,66.0,-5.0,Aotizhongxin,5,12.0,15.0,16.0,12.0,600.0,66.0,1.0,Changping,2015-02-12
17119,6,17.0,24.0,14.0,52.0,600.0,55.0,-6.0,Aotizhongxin,6,16.0,18.0,27.0,16.0,600.0,62.0,-1.0,Changping,2015-02-12
17120,7,15.0,29.0,10.0,53.0,700.0,54.0,-5.0,Aotizhongxin,7,22.0,23.0,30.0,27.0,600.0,50.0,-2.0,Changping,2015-02-12
17121,8,17.0,33.0,14.0,62.0,700.0,44.0,-5.0,Aotizhongxin,8,36.0,46.0,36.0,71.0,1400.0,13.0,-2.0,Changping,2015-02-12
17124,11,23.0,36.0,12.0,45.0,700.0,61.0,5.0,Aotizhongxin,11,72.0,84.0,40.0,52.0,1700.0,36.0,4.0,Changping,2015-02-12
17125,12,21.0,27.0,8.0,34.0,600.0,75.0,6.0,Aotizhongxin,12,30.0,30.0,16.0,16.0,500.0,74.0,4.0,Changping,2015-02-12
17126,13,22.0,28.0,9.0,34.0,600.0,76.0,5.0,Aotizhongxin,13,21.0,21.0,14.0,14.0,400.0,78.0,5.0,Changping,2015-02-12
17127,14,26.0,32.0,11.0,44.0,700.0,70.0,6.0,Aotizhongxin,14,20.0,20.0,17.0,23.0,500.0,74.0,6.0,Changping,2015-02-12
17128,15,31.0,41.0,14.0,48.0,800.0,72.0,8.0,Aotizhongxin,15,26.0,26.0,17.0,42.0,700.0,60.0,7.0,Changping,2015-02-12
17129,16,35.0,44.0,15.0,48.0,800.0,73.0,7.0,Aotizhongxin,16,35.0,35.0,19.0,54.0,800.0,52.0,6.0,Changping,2015-02-12
17130,17,29.0,42.0,11.0,40.0,600.0,77.0,6.0,Aotizhongxin,17,40.0,41.0,22.0,56.0,800.0,54.0,6.0,Changping,2015-02-12
17131,18,24.0,40.0,9.0,35.0,600.0,78.0,5.0,Aotizhongxin,18,42.0,42.0,21.0,52.0,800.0,58.0,5.0,Changping,2015-02-12
17132,19,38.0,62.0,14.0,38.0,700.0,78.0,5.0,Aotizhongxin,19,55.0,70.0,29.0,85.0,1200.0,20.0,4.0,Changping,2015-02-12
17133,20,47.0,74.0,17.0,52.0,800.0,66.0,4.0,Aotizhongxin,20,75.0,82.0,35.0,95.0,1400.0,10.0,3.0,Changping,2015-02-12
17134,21,63.0,92.0,20.0,57.0,1100.0,63.0,4.0,Aotizhongxin,21,74.0,74.0,32.0,89.0,1400.0,11.0,2.0,Changping,2015-02-12
17135,22,69.0,97.0,24.0,54.0,1200.0,69.0,3.0,Aotizhongxin,22,66.0,66.0,28.0,69.0,1400.0,20.0,1.0,Changping,2015-02-12
17136,23,89.0,93.0,23.0,44.0,1200.0,71.0,-1.0,Aotizhongxin,23,65.0,65.0,26.0,60.0,1400.0,24.0,0.0,Changping,2015-02-12
17137,0,85.0,112.0,29.0,75.0,1600.0,34.0,-2.0,Aotizhongxin,0,73.0,73.0,31.0,67.0,1400.0,19.0,-2.0,Changping,2015-02-13
17138,1,86.0,106.0,26.0,75.0,1500.0,25.0,-4.0,Aotizhongxin,1,86.0,88.0,33.0,67.0,1900.0,14.0,-2.0,Changping,2015-02-13
17139,2,86.0,114.0,27.0,82.0,1900.0,19.0,-1.0,Aotizhongxin,2,126.0,126.0,37.0,71.0,2700.0,7.0,-4.0,Changping,2015-02-13
17140,3,105.0,141.0,37.0,85.0,2600.0,20.0,-2.0,Aotizhongxin,3,118.0,118.0,37.0,69.0,2900.0,6.0,-4.0,Changping,2015-02-13
17141,4,97.0,128.0,30.0,79.0,2500.0,18.0,-2.0,Aotizhongxin,4,88.0,88.0,32.0,60.0,1900.0,10.0,-5.0,Changping,2015-02-13
17142,5,85.0,105.0,27.0,78.0,2400.0,18.0,-2.0,Aotizhongxin,5,72.0,72.0,24.0,57.0,1900.0,11.0,-5.0,Changping,2015-02-13
17143,6,85.0,106.0,27.0,77.0,2400.0,17.0,-4.0,Aotizhongxin,6,95.0,95.0,26.0,67.0,2400.0,4.0,-6.0,Changping,2015-02-13
17144,7,84.0,111.0,28.0,80.0,2400.0,17.0,-4.0,Aotizhongxin,7,90.0,99.0,33.0,69.0,2200.0,4.0,-6.0,Changping,2015-02-13
17145,8,92.0,123.0,43.0,79.0,2300.0,17.0,-4.0,Aotizhongxin,8,84.0,88.0,27.0,63.0,2100.0,5.0,-6.0,Changping,2015-02-13
17146,9,85.0,109.0,40.0,75.0,2100.0,23.0,-1.0,Aotizhongxin,9,88.0,100.0,51.0,61.0,2200.0,8.0,-2.0,Changping,2015-02-13
17148,11,89.0,106.0,39.0,68.0,1800.0,214.0,3.0,Aotizhongxin,11,134.0,141.0,55.0,76.0,2600.0,16.0,3.0,Changping,2015-02-13
17149,12,94.0,109.0,39.0,81.0,2000.0,215.0,5.0,Aotizhongxin,12,114.0,114.0,48.0,63.0,1800.0,32.0,4.0,Changping,2015-02-13
17150,13,111.0,119.0,37.0,93.0,2100.0,73.0,6.0,Aotizhongxin,13,118.0,118.0,52.0,70.0,1800.0,35.0,6.0,Changping,2015-02-13
17152,15,115.0,123.0,33.0,98.0,2000.0,53.0,8.0,Aotizhongxin,15,132.0,132.0,54.0,87.0,2100.0,47.0,8.0,Changping,2015-02-13
17153,16,120.0,132.0,31.0,97.0,1900.0,56.0,8.0,Aotizhongxin,16,135.0,135.0,45.0,105.0,2000.0,35.0,8.0,Changping,2015-02-13
17154,17,114.0,134.0,29.0,73.0,1600.0,72.0,8.0,Aotizhongxin,17,134.0,134.0,42.0,116.0,2000.0,27.0,7.0,Changping,2015-02-13
17155,18,126.0,157.0,31.0,72.0,1600.0,78.0,5.0,Aotizhongxin,18,151.0,151.0,46.0,131.0,2100.0,16.0,5.0,Changping,2015-02-13
17157,20,178.0,212.0,31.0,127.0,2400.0,29.0,1.0,Aotizhongxin,20,69.0,135.0,47.0,134.0,2500.0,6.0,3.0,Changping,2015-02-13
17158,21,192.0,230.0,36.0,151.0,2700.0,13.0,1.0,Aotizhongxin,21,136.0,136.0,44.0,130.0,2500.0,5.0,2.0,Changping,2015-02-13
17159,22,186.0,216.0,68.0,150.0,3600.0,15.0,3.0,Aotizhongxin,22,137.0,137.0,47.0,125.0,2400.0,6.0,1.0,Changping,2015-02-13
17160,23,212.0,244.0,79.0,146.0,4000.0,18.0,2.0,Aotizhongxin,23,152.0,152.0,46.0,117.0,2700.0,6.0,0.0,Changping,2015-02-13
17161,0,232.0,256.0,84.0,143.0,4200.0,19.0,1.0,Aotizhongxin,0,149.0,149.0,48.0,106.0,2500.0,8.0,0.0,Changping,2015-02-14
17162,1,237.0,257.0,81.0,135.0,4100.0,18.0,0.0,Aotizhongxin,1,149.0,149.0,43.0,94.0,2300.0,12.0,-1.0,Changping,2015-02-14
17163,2,223.0,231.0,72.0,129.0,3700.0,16.0,0.0,Aotizhongxin,2,149.0,149.0,33.0,83.0,2200.0,15.0,-1.0,Changping,2015-02-14
17164,3,216.0,221.0,65.0,131.0,3700.0,15.0,0.0,Aotizhongxin,3,148.0,148.0,41.0,90.0,2600.0,10.0,-2.0,Changping,2015-02-14
17166,5,168.0,168.0,59.0,124.0,3600.0,13.0,0.0,Aotizhongxin,5,164.0,164.0,31.0,74.0,3000.0,14.0,-1.0,Changping,2015-02-14
17167,6,171.0,179.0,57.0,121.0,3700.0,13.0,-1.0,Aotizhongxin,6,148.0,148.0,32.0,61.0,2100.0,28.0,-2.0,Changping,2015-02-14
17168,7,178.0,186.0,49.0,116.0,3800.0,13.0,-2.0,Aotizhongxin,7,168.0,172.0,33.0,76.0,3600.0,14.0,-4.0,Changping,2015-02-14
17169,8,180.0,195.0,53.0,113.0,3800.0,13.0,-1.0,Aotizhongxin,8,229.0,238.0,62.0,89.0,5700.0,11.0,-2.0,Changping,2015-02-14
17170,9,186.0,201.0,58.0,101.0,3300.0,18.0,1.0,Aotizhongxin,9,229.0,238.0,66.0,84.0,5100.0,10.0,2.0,Changping,2015-02-14
17171,10,188.0,209.0,68.0,96.0,2800.0,23.0,3.0,Aotizhongxin,10,218.0,228.0,54.0,93.0,4400.0,10.0,3.0,Changping,2015-02-14
17172,11,196.0,221.0,64.0,92.0,2800.0,35.0,5.0,Aotizhongxin,11,226.0,226.0,55.0,94.0,3300.0,20.0,5.0,Changping,2015-02-14
17173,12,216.0,236.0,62.0,96.0,2900.0,46.0,6.0,Aotizhongxin,12,241.0,241.0,70.0,98.0,3000.0,37.0,7.0,Changping,2015-02-14
17174,13,223.0,245.0,64.0,103.0,2800.0,55.0,9.0,Aotizhongxin,13,228.0,246.0,67.0,85.0,2700.0,58.0,8.0,Changping,2015-02-14
17175,14,233.0,253.0,67.0,128.0,2800.0,48.0,10.0,Aotizhongxin,14,192.0,206.0,59.0,48.0,1900.0,93.0,10.0,Changping,2015-02-14
17176,15,240.0,257.0,66.0,130.0,2900.0,53.0,11.0,Aotizhongxin,15,198.0,209.0,61.0,51.0,1900.0,106.0,10.0,Changping,2015-02-14
17177,16,238.0,251.0,66.0,127.0,2700.0,57.0,11.0,Aotizhongxin,16,213.0,223.0,60.0,57.0,2000.0,112.0,11.0,Changping,2015-02-14
17178,17,244.0,263.0,63.0,129.0,2700.0,58.0,10.0,Aotizhongxin,17,216.0,221.0,60.0,66.0,2100.0,113.0,10.0,Changping,2015-02-14
17179,18,256.0,289.0,66.0,135.0,3000.0,53.0,6.0,Aotizhongxin,18,228.0,228.0,62.0,79.0,2200.0,100.0,7.0,Changping,2015-02-14
17180,19,272.0,308.0,72.0,154.0,3200.0,32.0,3.0,Aotizhongxin,19,269.0,269.0,62.0,130.0,2600.0,42.0,4.0,Changping,2015-02-14
17181,20,270.0,300.0,64.0,162.0,3300.0,16.0,2.0,Aotizhongxin,20,279.0,291.0,69.0,123.0,3700.0,29.0,4.0,Changping,2015-02-14
17182,21,275.0,308.0,52.0,167.0,3700.0,11.0,3.0,Aotizhongxin,21,242.0,242.0,55.0,65.0,2700.0,69.0,3.0,Changping,2015-02-14
17183,22,290.0,326.0,48.0,163.0,4100.0,13.0,3.0,Aotizhongxin,22,230.0,230.0,58.0,68.0,3000.0,63.0,3.0,Changping,2015-02-14
17184,23,322.0,356.0,66.0,167.0,4500.0,15.0,3.0,Aotizhongxin,23,280.0,280.0,63.0,105.0,3800.0,24.0,2.0,Changping,2015-02-14
17185,0,349.0,376.0,90.0,168.0,5200.0,19.0,0.0,Aotizhongxin,0,237.0,237.0,51.0,50.0,2600.0,67.0,2.0,Changping,2015-02-15
17186,1,351.0,372.0,106.0,163.0,5400.0,20.0,-1.0,Aotizhongxin,1,225.0,225.0,47.0,40.0,2400.0,75.0,1.0,Changping,2015-02-15
17187,2,316.0,335.0,103.0,158.0,4800.0,17.0,-1.0,Aotizhongxin,2,220.0,220.0,60.0,54.0,2500.0,60.0,2.0,Changping,2015-02-15
17188,3,301.0,319.0,82.0,151.0,5100.0,16.0,-1.0,Aotizhongxin,3,219.0,219.0,60.0,62.0,2800.0,51.0,1.0,Changping,2015-02-15
17189,4,290.0,298.0,69.0,143.0,5300.0,15.0,-2.0,Aotizhongxin,4,238.0,238.0,50.0,70.0,3000.0,42.0,1.0,Changping,2015-02-15
17190,5,276.0,281.0,62.0,135.0,5000.0,14.0,-2.0,Aotizhongxin,5,247.0,247.0,46.0,97.0,3900.0,12.0,2.0,Changping,2015-02-15
17191,6,261.0,262.0,58.0,130.0,4500.0,12.0,-2.0,Aotizhongxin,6,271.0,271.0,41.0,92.0,3900.0,14.0,1.0,Changping,2015-02-15
17192,7,255.0,255.0,47.0,122.0,4400.0,12.0,-4.0,Aotizhongxin,7,271.0,271.0,36.0,91.0,3500.0,8.0,2.0,Changping,2015-02-15
17193,8,268.0,297.0,55.0,130.0,4900.0,12.0,-2.0,Aotizhongxin,8,265.0,265.0,40.0,81.0,3400.0,16.0,0.0,Changping,2015-02-15
17194,9,269.0,284.0,76.0,127.0,5000.0,14.0,1.0,Aotizhongxin,9,287.0,287.0,67.0,94.0,4300.0,9.0,2.0,Changping,2015-02-15
17195,10,279.0,298.0,86.0,130.0,5200.0,6.0,3.0,Aotizhongxin,10,379.0,398.0,96.0,98.0,6700.0,10.0,3.0,Changping,2015-02-15
17196,11,269.0,321.0,106.0,122.0,4600.0,4.0,5.0,Aotizhongxin,11,375.0,375.0,94.0,106.0,5700.0,12.0,4.0,Changping,2015-02-15
17197,12,276.0,316.0,104.0,131.0,4800.0,5.0,6.0,Aotizhongxin,12,320.0,320.0,94.0,111.0,4300.0,18.0,5.0,Changping,2015-02-15
17198,13,266.0,288.0,95.0,129.0,4400.0,10.0,8.0,Aotizhongxin,13,228.0,228.0,79.0,89.0,3100.0,37.0,7.0,Changping,2015-02-15
17199,14,269.0,300.0,97.0,139.0,4700.0,10.0,7.0,Aotizhongxin,14,262.0,268.0,104.0,125.0,4000.0,25.0,7.0,Changping,2015-02-15
17200,15,302.0,344.0,95.0,168.0,5600.0,2.0,7.0,Aotizhongxin,15,306.0,325.0,115.0,134.0,5000.0,25.0,8.0,Changping,2015-02-15
17201,16,292.0,366.0,106.0,163.0,5700.0,2.0,7.0,Aotizhongxin,16,287.0,295.0,105.0,131.0,4400.0,24.0,7.0,Changping,2015-02-15
17202,17,277.0,357.0,110.0,152.0,5500.0,2.0,6.0,Aotizhongxin,17,258.0,258.0,94.0,125.0,3900.0,24.0,7.0,Changping,2015-02-15
17203,18,265.0,309.0,102.0,143.0,5000.0,2.0,6.0,Aotizhongxin,18,244.0,244.0,87.0,128.0,3700.0,17.0,7.0,Changping,2015-02-15
17204,19,262.0,309.0,97.0,140.0,5000.0,2.0,6.0,Aotizhongxin,19,243.0,254.0,87.0,129.0,3700.0,8.0,6.0,Changping,2015-02-15
17205,20,201.0,234.0,88.0,112.0,4000.0,4.0,5.0,Aotizhongxin,20,261.0,287.0,104.0,125.0,4600.0,5.0,6.0,Changping,2015-02-15
17206,21,178.0,210.0,79.0,106.0,3400.0,4.0,4.0,Aotizhongxin,21,260.0,282.0,104.0,123.0,4600.0,5.0,6.0,Changping,2015-02-15
17207,22,156.0,170.0,75.0,106.0,3100.0,3.0,4.0,Aotizhongxin,22,233.0,259.0,98.0,117.0,4300.0,6.0,5.0,Changping,2015-02-15
17208,23,163.0,175.0,72.0,106.0,3300.0,2.0,2.0,Aotizhongxin,23,203.0,208.0,79.0,105.0,3700.0,10.0,3.0,Changping,2015-02-15
17209,0,168.0,186.0,74.0,100.0,3800.0,2.0,0.0,Aotizhongxin,0,230.0,230.0,77.0,109.0,4200.0,8.0,2.0,Changping,2015-02-16
17210,1,172.0,194.0,75.0,95.0,3900.0,2.0,0.0,Aotizhongxin,1,245.0,246.0,67.0,101.0,4200.0,8.0,2.0,Changping,2015-02-16
17211,2,189.0,214.0,71.0,91.0,4100.0,2.0,-2.0,Aotizhongxin,2,240.0,240.0,54.0,102.0,3900.0,6.0,0.0,Changping,2015-02-16
17212,3,214.0,238.0,79.0,87.0,3800.0,2.0,-2.0,Aotizhongxin,3,234.0,234.0,51.0,99.0,4700.0,6.0,0.0,Changping,2015-02-16
17214,5,233.0,252.0,74.0,84.0,3800.0,13.0,-2.0,Aotizhongxin,5,226.0,226.0,53.0,93.0,4500.0,6.0,-1.0,Changping,2015-02-16
17215,6,239.0,251.0,67.0,88.0,4900.0,13.0,-3.0,Aotizhongxin,6,248.0,248.0,49.0,95.0,5400.0,7.0,-2.0,Changping,2015-02-16
17216,7,241.0,261.0,67.0,94.0,5600.0,14.0,-4.0,Aotizhongxin,7,255.0,255.0,41.0,89.0,5400.0,7.0,-1.0,Changping,2015-02-16
17217,8,249.0,273.0,66.0,104.0,6100.0,16.0,-2.0,Aotizhongxin,8,205.0,212.0,34.0,77.0,4300.0,6.0,1.0,Changping,2015-02-16
17218,9,250.0,278.0,87.0,111.0,5900.0,13.0,2.0,Aotizhongxin,9,205.0,226.0,66.0,81.0,4600.0,10.0,3.0,Changping,2015-02-16
17219,10,121.0,149.0,53.0,71.0,2500.0,25.0,7.0,Aotizhongxin,10,159.0,195.0,56.0,61.0,2900.0,30.0,8.0,Changping,2015-02-16
17220,11,62.0,140.0,30.0,42.0,1300.0,46.0,10.0,Aotizhongxin,11,31.0,213.0,19.0,20.0,600.0,63.0,9.0,Changping,2015-02-16
17221,12,31.0,216.0,12.0,14.0,600.0,66.0,11.0,Aotizhongxin,12,23.0,150.0,14.0,16.0,500.0,69.0,10.0,Changping,2015-02-16
17222,13,17.0,96.0,16.0,9.0,500.0,70.0,11.0,Aotizhongxin,13,19.0,66.0,5.0,13.0,400.0,74.0,11.0,Changping,2015-02-16
17223,14,17.0,87.0,9.0,8.0,400.0,72.0,11.0,Aotizhongxin,14,11.0,35.0,2.0,11.0,300.0,76.0,11.0,Changping,2015-02-16
17225,16,14.0,30.0,3.0,8.0,300.0,70.0,12.0,Aotizhongxin,16,5.0,22.0,2.0,9.0,300.0,78.0,11.0,Changping,2015-02-16
17226,17,12.0,31.0,2.0,9.0,300.0,68.0,11.0,Aotizhongxin,17,8.0,35.0,2.0,11.0,300.0,74.0,10.0,Changping,2015-02-16
17227,18,12.0,36.0,4.0,16.0,300.0,60.0,9.0,Aotizhongxin,18,18.0,42.0,2.0,16.0,300.0,68.0,9.0,Changping,2015-02-16
17228,19,12.0,46.0,5.0,28.0,400.0,48.0,8.0,Aotizhongxin,19,19.0,49.0,2.0,20.0,300.0,62.0,7.0,Changping,2015-02-16
17229,20,17.0,50.0,7.0,37.0,400.0,37.0,6.0,Aotizhongxin,20,15.0,54.0,2.0,14.0,300.0,68.0,6.0,Changping,2015-02-16
17230,21,19.0,58.0,8.0,36.0,500.0,38.0,4.0,Aotizhongxin,21,21.0,67.0,3.0,18.0,300.0,63.0,7.0,Changping,2015-02-16
17231,22,19.0,56.0,9.0,48.0,700.0,24.0,5.0,Aotizhongxin,22,21.0,46.0,2.0,12.0,300.0,67.0,6.0,Changping,2015-02-16
17232,23,24.0,62.0,12.0,72.0,800.0,2.0,4.0,Aotizhongxin,23,21.0,50.0,2.0,8.0,300.0,67.0,6.0,Changping,2015-02-16
17233,0,30.0,64.0,20.0,69.0,800.0,2.0,4.0,Aotizhongxin,0,20.0,46.0,2.0,10.0,300.0,65.0,5.0,Changping,2015-02-17
17234,1,22.0,38.0,14.0,27.0,500.0,42.0,3.0,Aotizhongxin,1,14.0,40.0,2.0,8.0,300.0,65.0,4.0,Changping,2015-02-17
17235,2,18.0,24.0,13.0,16.0,500.0,50.0,2.0,Aotizhongxin,2,12.0,36.0,3.0,8.0,300.0,64.0,3.0,Changping,2015-02-17
17236,3,19.0,24.0,9.0,13.0,500.0,52.0,1.0,Aotizhongxin,3,14.0,35.0,4.0,16.0,300.0,55.0,4.0,Changping,2015-02-17
17237,4,15.0,21.0,11.0,19.0,500.0,45.0,1.0,Aotizhongxin,4,19.0,44.0,14.0,17.0,400.0,52.0,3.0,Changping,2015-02-17
17238,5,14.0,25.0,11.0,15.0,500.0,51.0,1.0,Aotizhongxin,5,20.0,49.0,17.0,10.0,400.0,60.0,3.0,Changping,2015-02-17
17239,6,13.0,28.0,6.0,13.0,400.0,54.0,0.0,Aotizhongxin,6,18.0,49.0,9.0,8.0,300.0,63.0,3.0,Changping,2015-02-17
17240,7,13.0,35.0,8.0,23.0,500.0,44.0,1.0,Aotizhongxin,7,16.0,50.0,5.0,10.0,300.0,62.0,3.0,Changping,2015-02-17
17241,8,14.0,41.0,8.0,36.0,500.0,32.0,2.0,Aotizhongxin,8,17.0,47.0,4.0,10.0,300.0,65.0,3.0,Changping,2015-02-17
17242,9,18.0,48.0,10.0,34.0,600.0,35.0,4.0,Aotizhongxin,9,19.0,52.0,8.0,11.0,400.0,64.0,4.0,Changping,2015-02-17
17243,10,23.0,61.0,13.0,28.0,500.0,45.0,5.0,Aotizhongxin,10,20.0,53.0,12.0,11.0,400.0,67.0,5.0,Changping,2015-02-17
17244,11,18.0,58.0,8.0,12.0,400.0,63.0,7.0,Aotizhongxin,11,21.0,44.0,10.0,10.0,400.0,72.0,7.0,Changping,2015-02-17
17245,12,17.0,49.0,8.0,12.0,400.0,67.0,8.0,Aotizhongxin,12,20.0,43.0,18.0,12.0,500.0,72.0,8.0,Changping,2015-02-17
17246,13,16.0,38.0,6.0,9.0,300.0,73.0,9.0,Aotizhongxin,13,24.0,34.0,12.0,9.0,400.0,79.0,9.0,Changping,2015-02-17
17247,14,14.0,31.0,6.0,6.0,300.0,79.0,10.0,Aotizhongxin,14,23.0,37.0,11.0,9.0,400.0,83.0,10.0,Changping,2015-02-17
17248,15,17.0,32.0,8.0,6.0,300.0,81.0,11.0,Aotizhongxin,15,22.0,36.0,8.0,8.0,400.0,88.0,11.0,Changping,2015-02-17
17249,16,16.0,34.0,11.0,9.0,400.0,81.0,11.0,Aotizhongxin,16,15.0,30.0,7.0,10.0,400.0,89.0,11.0,Changping,2015-02-17
17250,17,20.0,36.0,11.0,16.0,400.0,75.0,10.0,Aotizhongxin,17,16.0,28.0,6.0,12.0,400.0,87.0,11.0,Changping,2015-02-17
17251,18,16.0,28.0,7.0,27.0,400.0,64.0,8.0,Aotizhongxin,18,19.0,34.0,4.0,11.0,300.0,88.0,9.0,Changping,2015-02-17
17252,19,14.0,26.0,5.0,48.0,500.0,40.0,5.0,Aotizhongxin,19,20.0,28.0,2.0,15.0,300.0,80.0,8.0,Changping,2015-02-17
17253,20,27.0,27.0,6.0,72.0,600.0,14.0,2.5,Aotizhongxin,20,30.0,48.0,13.0,50.0,800.0,43.0,6.0,Changping,2015-02-17
17254,21,19.0,33.0,5.0,76.0,700.0,3.0,2.0,Aotizhongxin,21,52.0,62.0,19.0,37.0,1000.0,51.0,4.0,Changping,2015-02-17
17255,22,21.0,37.0,13.0,90.0,900.0,2.0,1.0,Aotizhongxin,22,46.0,47.0,21.0,34.0,1300.0,54.0,5.0,Changping,2015-02-17
17256,23,46.0,63.0,32.0,94.0,1700.0,2.0,-1.0,Aotizhongxin,23,19.0,19.0,9.0,22.0,600.0,63.0,4.0,Changping,2015-02-17
17257,0,63.0,101.0,30.0,91.0,1900.0,2.0,-1.0,Aotizhongxin,0,12.0,12.0,2.0,8.0,300.0,81.0,3.0,Changping,2015-02-18
17258,1,78.0,103.0,31.0,90.0,1900.0,2.0,-2.0,Aotizhongxin,1,8.0,8.0,2.0,4.0,300.0,80.0,4.0,Changping,2015-02-18
17259,2,50.0,58.0,28.0,82.0,1700.0,2.0,-2.0,Aotizhongxin,2,10.0,10.0,7.0,20.0,300.0,60.0,4.0,Changping,2015-02-18
17260,3,42.0,44.0,25.0,78.0,1400.0,2.0,1.0,Aotizhongxin,3,8.0,8.0,4.0,11.0,400.0,70.0,2.0,Changping,2015-02-18
17263,6,15.0,15.0,10.0,17.0,600.0,66.0,0.0,Aotizhongxin,6,11.0,14.0,14.0,12.0,400.0,62.0,3.0,Changping,2015-02-18
17265,8,12.0,15.0,14.0,26.0,500.0,57.0,1.0,Aotizhongxin,8,15.0,22.0,34.0,23.0,600.0,48.0,3.0,Changping,2015-02-18
17266,9,16.0,20.0,15.0,28.0,600.0,58.0,3.0,Aotizhongxin,9,22.0,24.0,39.0,22.0,600.0,52.0,4.0,Changping,2015-02-18
17269,12,12.0,12.0,7.0,10.0,300.0,84.0,8.0,Aotizhongxin,12,22.0,22.0,21.0,14.0,600.0,73.0,8.0,Changping,2015-02-18
17270,13,9.0,9.0,5.0,10.0,300.0,87.0,9.0,Aotizhongxin,13,17.0,17.0,10.0,11.0,500.0,82.0,9.0,Changping,2015-02-18
17271,14,12.0,12.0,5.0,11.0,300.0,87.0,10.0,Aotizhongxin,14,15.0,15.0,7.0,6.0,400.0,90.0,10.0,Changping,2015-02-18
17272,15,6.0,6.0,6.0,14.0,300.0,87.0,10.0,Aotizhongxin,15,17.0,17.0,9.0,7.0,400.0,92.0,10.0,Changping,2015-02-18
17273,16,13.0,13.0,7.0,17.0,300.0,85.0,11.0,Aotizhongxin,16,15.0,16.0,10.0,8.0,400.0,92.0,10.0,Changping,2015-02-18
17274,17,15.0,15.0,8.0,20.0,400.0,85.0,10.0,Aotizhongxin,17,16.0,16.0,11.0,19.0,500.0,81.0,9.0,Changping,2015-02-18
17275,18,19.0,19.0,9.0,25.0,400.0,80.0,7.0,Aotizhongxin,18,13.0,15.0,9.0,23.0,500.0,76.0,8.0,Changping,2015-02-18
17276,19,14.0,28.0,12.0,35.0,500.0,67.0,4.0,Aotizhongxin,19,38.0,42.0,20.0,33.0,600.0,62.0,7.0,Changping,2015-02-18
17277,20,70.0,113.0,37.0,48.0,900.0,64.0,4.0,Aotizhongxin,20,100.0,118.0,41.0,52.0,1000.0,38.0,4.0,Changping,2015-02-18
